Region,Centroid_X,Centroid_Y,Total_Area,Max_Radiation,Average_Radiation,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1000,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1100,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1200,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1300,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1400,33750.0,1466.1443,3192637.5,2111062.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1500,23420000.0,1589.982,3193862.5,2118987.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1600,610204375.0,1641.3066,3155912.5,2145912.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1700,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,900,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1000,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1100,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1200,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1300,13750.0,1392.4417,3314837.5,2188912.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1400,2440000.0,1484.7864,3297112.5,2189437.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1500,133178750.0,1570.9421,3336187.5,2164712.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1600,590345625.0,1641.3523,3312462.5,2131012.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1800,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,700,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,800,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,900,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1000,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1100,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1200,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1300,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1400,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1500,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1600,263263750.0,1667.8865,3056612.5,2250737.5
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1700,338750.0,1703.455,3043137.5,2160687.5
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1800,0.0,,,
